Year,Tuna,Oysters,Mussel,Abalone,Finfish
1994,1170000,10260000,,,
1995,4069000,11712000,,,
1996,4927000,16032000,,,
1997,6805000,15576000,,,
1998,7750000,17292000,84,21,
1999,9051000,30192000,81,40,
2000,9245000,35232000,111,53,
2001,9102000,41568000,171,34,
2002,9290000,46380000,254,59,
2003,7458000,55728000,400,105,
2004,8806000,55800000,377,177,
2005,7486000,64764000,469.015,250,
2006,9757000,92640000,1031.869,196,
2007,8786000,65376000,1368.615,167,2074
2008,7284000,70176000,1339.597,227,3382
2009,5800000,73476000,1343.399,286,3757
2010,7087000,73848000,1173.515,317,3620
2011,7486000,62892000,1277.497,178,1504
2012,7544000,68520000,1480,236,889
2013,8418000,58800000,1619,330,579
2014,8895000,46692000,1577,334,1076
2015,8200000,55068000,2088,350,2018
2016,8000000,61896000,1777,324,2294
2017,8252000,26124000,1833,399,2487
